mean1,mean2,mean3,var1,var2,var3,sk1,sk2,sk3,w1,w2,w3,mm_mean,mm_var,mm_skew
3.62335,7.03688,11.5797,0.845897,2.30416,4.11393,0.0,0.0,0.0,0.675185,0.221527,0.103326,5.20177,8.13795,33.7599035589
3.52216,5.43693,9.59621,0.501041,0.535872,2.64094,0.0,0.0,0.0,0.482632,0.339339,0.178056,5.25353,5.70999,17.0499686765
3.22452,4.91255,9.33277,0.251554,0.336703,4.35374,0.0,0.0,0.0,0.34446,0.385731,0.269864,5.52422,7.27188,23.2185152765
3.70078,6.80738,10.8936,0.845299,2.43541,5.75397,0.0,0.0,0.0,0.562774,0.301923,0.135407,5.61308,8.25454,28.7648762317
3.90561,6.73221,12.1409,0.787829,1.09489,2.38091,0.0,0.0,0.0,0.603167,0.297495,0.0993806,5.56511,7.4012,29.4175119845
3.87045,6.90872,9.87367,0.842497,2.8969,4.62649,0.0,0.0,0.0,0.634987,0.205715,0.159258,5.45137,7.00622,21.7445927779
4.23007,7.3772,10.8569,1.01584,1.57144,6.64126,0.0,0.0,0.0,0.677123,0.255625,0.0671807,5.47944,5.45593,17.7795406537
3.90193,6.85937,10.1281,0.734792,2.39917,9.54115,0.0,0.0,0.0,0.557063,0.33196,0.110998,5.57485,6.67274,24.0541180153
3.95618,7.12389,11.6876,1.19234,1.21443,2.51991,0.0,0.0,0.0,0.646386,0.260504,0.0932394,5.50277,7.11942,23.1002364891
4.02228,6.11225,10.4987,0.766614,1.82115,1.42944,0.0,0.0,0.0,0.534426,0.339773,0.125821,5.54734,5.64438,15.2846497287
3.93371,6.08447,9.97159,0.868698,2.52211,6.78412,0.0,0.0,0.0,0.54085,0.294254,0.164812,5.56136,7.04905,25.5111915575
3.85173,7.13611,12.3552,0.583992,1.84481,0.102734,0.0,0.0,0.0,0.620697,0.32752,0.0517705,5.36762,5.95045,18.9812869714
3.96873,6.92863,10.6754,0.809765,1.90408,4.09551,0.0,0.0,0.0,0.680193,0.258839,0.060971,5.14379,4.92273,15.5289586143
3.9472,7.38965,12.8299,0.858149,2.42824,5.8835,0.0,0.0,0.0,0.692576,0.248125,0.0594646,5.33021,7.26835,34.5464156786
3.55459,6.2298,9.7644,0.775263,3.16621,6.15836,0.0,0.0,0.0,0.548899,0.277497,0.173585,5.37482,7.73933,25.5521278413
4.05317,7.05841,10.4634,1.03684,3.32787,6.23785,0.0,0.0,0.0,0.626724,0.225454,0.147911,5.67921,7.79404,27.2699747994
4.03968,8.48132,15.563,0.954991,1.68449,0.00448899,0.0,0.0,0.0,0.739688,0.240318,0.0199665,5.33705,6.82011,28.2778580154
4.0856,6.92881,10.2402,0.755427,2.05559,4.84856,0.0,0.0,0.0,0.59572,0.268028,0.136276,5.68649,6.42803,19.8568169742
3.93367,5.6145,8.97835,0.986577,2.93339,7.16124,0.0,0.0,0.0,0.452396,0.37491,0.172775,5.43575,5.98438,17.8786104363
3.95049,7.30377,11.5115,0.950074,3.51724,8.18635,0.0,0.0,0.0,0.614102,0.280198,0.105775,5.69014,8.60746,35.6589446539
4.08389,6.88256,9.97263,0.944227,2.10821,3.50049,0.0,0.0,0.0,0.643857,0.257245,0.098902,5.38626,5.24491,13.8035722865
3.80979,6.51423,10.8739,0.808616,1.6979,3.37421,0.0,0.0,0.0,0.608209,0.285935,0.105978,5.33219,6.39864,21.7825270135
3.68152,6.61138,10.0941,1.08121,2.70413,5.71308,0.0,0.0,0.0,0.568662,0.307707,0.123606,5.3756,7.00698,20.7570723425
3.9796,7.31345,11.3575,0.9475,2.5546,4.75206,0.0,0.0,0.0,0.693754,0.176285,0.130029,5.52691,8.36957,34.3790756361
4.39739,7.72587,11.041,0.977813,0.381885,5.31961,0.0,0.0,0.0,0.690483,0.19722,0.112404,5.80107,6.52579,22.6594613423
4.10544,7.08787,11.1377,0.530411,2.21922,6.79394,0.0,0.0,0.0,0.634896,0.261733,0.103457,5.61394,6.79055,28.7878514482
3.64858,5.46663,9.0463,0.660885,0.920348,4.52924,0.0,0.0,0.0,0.497044,0.295401,0.207577,5.30615,5.81752,17.6443989745
