mu1,mu2,mu3,sigma1,sigma2,sigma3,w1,w2,w3
4.04438,7.12135,11.0026,1.03335,1.71012,2.93982,0.633538,0.269643,0.0968535
3.97948,6.99498,10.1993,0.996464,1.70907,2.47972,0.601573,0.268547,0.129968
4.10807,7.24426,10.5423,1.07053,1.60794,2.49572,0.64706,0.263861,0.0891874
4.12779,7.51013,10.8591,1.0179,1.68772,2.27447,0.662896,0.222045,0.115123
4.04903,7.33495,10.4395,0.991761,1.66008,2.48774,0.658062,0.234455,0.107537
4.06641,7.22825,10.9893,1.01871,1.6418,2.55669,0.645865,0.270153,0.083932
3.98363,7.51374,11.6442,0.946341,1.49672,2.5663,0.661839,0.2594,0.0788387
3.9549,7.08675,10.2843,0.98484,1.54796,2.36169,0.631583,0.254263,0.11421
4.06677,7.3605,10.3782,1.03721,1.57836,2.38118,0.641213,0.258007,0.100818
4.06815,7.61154,10.7102,1.03688,1.24822,1.72347,0.686816,0.228244,0.0850366
3.97394,6.95107,10.323,0.990728,1.59462,2.39113,0.616628,0.254422,0.128932
4.11829,7.93647,12.1532,1.04417,1.52988,2.48293,0.693981,0.251445,0.054691
4.06209,7.36858,11.7076,0.987255,1.55377,2.54757,0.652231,0.279402,0.0684226
3.90106,6.85723,10.0401,0.973286,1.60345,2.50369,0.591903,0.286339,0.121761
4.02499,6.99464,10.3251,0.977759,1.37784,1.96377,0.610027,0.271276,0.118752
4.06466,7.19323,10.9918,1.02112,1.79672,2.39638,0.642653,0.24843,0.109013
4.07614,7.26763,11.1707,1.06392,1.56389,2.20068,0.643234,0.26769,0.0891158
4.04886,6.93804,10.6336,1.02133,1.78769,2.67075,0.615761,0.269799,0.114518
3.96514,7.36436,10.4271,0.969747,1.54268,2.42136,0.652542,0.242331,0.105186
3.97367,7.39389,10.5566,1.02454,1.52037,2.2102,0.664574,0.225245,0.110299
4.04476,7.01379,10.9521,0.979729,1.70208,2.37291,0.622735,0.264787,0.11238
4.0234,7.39252,10.5339,1.00141,1.49109,2.11097,0.653782,0.240099,0.106189
3.93603,5.87346,9.97646,0.993568,1.79996,2.58857,0.526198,0.309239,0.164646
3.81874,5.93703,9.86691,0.95423,1.56028,2.2593,0.521732,0.325351,0.15296
3.99075,6.75579,10.3174,0.980468,1.5251,2.20097,0.601231,0.282133,0.116759
4.08774,7.60535,11.5765,1.03653,1.49916,2.28456,0.678473,0.239844,0.0817182
4.13338,7.69487,10.9407,1.02785,1.68222,3.11245,0.66504,0.256345,0.0786475
3.97962,7.08347,10.2446,0.976803,1.7056,2.62122,0.606293,0.257041,0.136692
3.96801,5.98651,10.3122,1.00139,1.83915,2.48246,0.547622,0.307396,0.145104
3.9992,6.90286,10.5924,0.994949,1.6247,2.32518,0.604141,0.2714,0.12447
4.02232,7.64126,11.2091,1.0883,1.51376,2.38684,0.669449,0.256231,0.0743444
3.97438,6.9122,9.88053,1.02113,1.7113,2.77519,0.599485,0.274279,0.126301
4.01662,6.90595,10.4484,1.01573,1.58805,2.26564,0.626681,0.272669,0.100741
3.99036,7.32609,10.7717,1.0357,1.68362,2.49585,0.654724,0.248985,0.0963931
3.96446,6.594,10.2774,0.989087,1.80604,2.95723,0.579615,0.30045,0.120007
4.18483,7.85935,12.469,1.08731,1.47654,1.9323,0.679362,0.259068,0.0616237
4.10614,7.65811,10.7769,1.02405,1.51464,2.618,0.678111,0.242824,0.0791236
4.18308,7.65719,11.2641,0.99969,1.62967,2.83239,0.675582,0.253372,0.0711471
4.04776,7.58767,11.5293,1.08822,1.60971,2.62518,0.665643,0.261882,0.0726087
3.98296,6.80541,10.5491,1.01966,1.87012,2.77733,0.606854,0.266385,0.126812
4.02507,7.39555,11.3529,0.986664,1.54699,2.46114,0.650304,0.261298,0.0884911
4.09711,7.61013,10.9957,1.05858,1.65614,2.97708,0.672534,0.243273,0.0842095
3.98874,7.61835,11.2925,1.0037,1.49566,2.10713,0.659288,0.252674,0.0880161
4.05529,7.61785,11.2817,1.04603,1.5636,2.84616,0.658102,0.259209,0.0827418
4.20674,7.4322,10.995,1.06053,1.79714,2.5926,0.66716,0.238581,0.0942797
3.92835,6.4548,9.98772,0.984447,1.77053,2.48361,0.584358,0.276549,0.139117
4.00949,7.60267,11.6267,1.04642,1.69875,2.89238,0.691064,0.245947,0.0629628
4.06067,7.732,10.9968,1.0526,1.65623,2.64608,0.684138,0.222543,0.0934165
4.00678,7.16543,10.6408,0.936287,1.41716,2.00735,0.651735,0.250796,0.097577
4.05917,7.68701,11.3135,1.04137,1.52723,2.65688,0.665825,0.265247,0.0689978
4.01666,7.15463,10.1164,0.997671,1.70683,2.31854,0.629791,0.251083,0.119219
4.03094,7.38632,11.1567,1.00328,1.57872,2.29741,0.660677,0.253494,0.0858751
4.03569,7.23351,10.3629,1.00646,1.61307,2.4101,0.630239,0.2518,0.11797
4.05398,7.41145,10.6817,1.01408,1.46751,2.66435,0.641413,0.256385,0.102312
3.9945,6.71235,10.3213,0.972786,1.76852,2.51322,0.598913,0.270916,0.130247
3.90659,6.53474,10.5437,1.0618,1.63212,1.91963,0.584892,0.286258,0.128798
4.01081,7.19392,10.8512,1.01436,1.57681,2.31463,0.663066,0.235984,0.100957
4.02127,7.01951,10.8803,1.04266,1.5839,2.31446,0.629325,0.257633,0.113097
4.09801,7.51517,10.8214,1.02612,1.57823,2.40119,0.669218,0.242817,0.0880209
3.99508,6.96592,10.0548,1.07551,1.86627,2.70587,0.603476,0.271161,0.125395
4.0182,6.49503,10.375,1.00122,1.83229,2.50616,0.58297,0.293878,0.123173
4.04588,6.45152,10.2755,1.04079,1.68112,2.36284,0.585514,0.289363,0.12511
4.0463,6.90546,10.3543,1.07532,1.73133,2.05378,0.638187,0.24436,0.117481
3.98505,7.30533,11.1456,1.04315,1.60704,2.29689,0.655379,0.254493,0.0902191
4.06,7.00899,10.4596,0.963311,1.65605,2.681,0.629341,0.260552,0.110141
4.02698,7.12881,11.1536,1.03161,1.52131,2.44277,0.636451,0.282766,0.0808328
4.04509,7.71522,11.3806,1.0653,1.58741,3.11613,0.658386,0.274139,0.0675389
4.02634,7.31237,9.96461,1.02547,1.76527,2.67676,0.631795,0.236153,0.132095
4.04055,7.50782,10.8211,1.03271,1.62963,2.61625,0.649859,0.252843,0.0974066
3.82263,5.76988,9.38052,0.931171,1.75588,2.16733,0.525976,0.293831,0.18026
3.98623,7.24079,11.2176,1.00808,1.62093,2.51158,0.642515,0.26039,0.0971658
4.0847,7.48776,10.7277,1.04363,1.65689,2.95175,0.662767,0.259623,0.0776288
4.08375,7.0724,10.498,0.974714,1.75223,2.70101,0.634855,0.258685,0.106428
3.9585,6.00601,9.76624,0.946937,1.78659,2.30623,0.549824,0.285826,0.164502
4.08041,7.7902,11.1958,1.05159,1.54868,3.26635,0.6708,0.256568,0.0725904
4.02231,6.7898,10.6065,1.06445,1.70127,2.45453,0.608119,0.280657,0.1112
3.84529,6.53277,9.84833,0.971705,1.76488,2.36851,0.578916,0.267595,0.153511
3.93988,6.63627,11.026,1.08919,1.75575,2.66562,0.581343,0.305151,0.113543
4.03497,7.06645,10.3514,1.05013,1.73024,2.79768,0.599217,0.277754,0.123112
3.93464,6.85265,10.5973,1.01423,1.62861,2.43968,0.610001,0.271128,0.118893
4.09879,7.66623,11.1786,1.1034,1.59369,3.05947,0.669674,0.261904,0.0684221
4.0088,6.44366,9.86065,0.983183,1.84399,2.28925,0.58026,0.254505,0.1653
3.97912,7.30907,10.8115,1.04893,1.59268,2.61267,0.640508,0.272524,0.0869868
3.98091,6.66529,10.3131,1.04812,1.87162,2.69286,0.57023,0.287252,0.142528
4.06669,6.38921,9.96387,0.95459,1.82655,2.78605,0.564934,0.30748,0.12754
3.95259,6.92496,10.2097,0.991401,1.64104,2.40658,0.601865,0.277434,0.120604
4.09091,7.25885,10.8773,1.05735,1.6049,2.36414,0.658223,0.255094,0.0867538
4.1307,7.65942,12.5926,1.06205,1.40374,2.23534,0.702777,0.242606,0.0547065
3.98794,7.16609,10.5644,1.06186,1.84635,2.81519,0.610092,0.26448,0.125484
4.02232,7.22758,10.6757,1.04193,1.56018,2.83414,0.639295,0.276221,0.0845818
4.03153,7.6224,13.3445,1.08621,1.69856,2.85517,0.669877,0.283329,0.046915
4.0694,7.53772,11.142,1.03512,1.48258,2.48901,0.667799,0.248905,0.0833195
4.03966,7.39777,10.8939,0.989272,1.74972,2.61009,0.632998,0.25598,0.110986
4.06387,7.07592,11.0155,1.04849,1.59986,2.34282,0.641023,0.273853,0.0852154
4.00763,7.57591,11.3204,1.01969,1.51801,2.6923,0.674521,0.242967,0.0826549
4.07244,7.47085,11.0707,0.993024,1.4529,2.53306,0.679569,0.23152,0.0889873
4.02224,6.94995,10.4859,0.980235,1.53163,2.16257,0.62219,0.26346,0.114344
4.04314,6.80801,10.362,0.984472,1.61433,2.16008,0.617821,0.26461,0.117632
4.09306,7.70529,11.6906,1.05168,1.54461,2.37118,0.670999,0.251481,0.0776149
4.05005,7.54585,10.8569,1.06146,1.52075,2.69062,0.653525,0.261105,0.0854968
3.92384,5.3659,9.22183,0.941067,1.58251,1.94629,0.480921,0.323754,0.19542
3.96418,6.84468,10.3289,1.02395,1.7714,2.55616,0.610884,0.261362,0.127766
4.03046,6.74789,10.3484,1.0182,1.64522,2.46075,0.620306,0.261231,0.11849
4.05889,7.30518,11.0586,1.09035,1.51997,2.30687,0.65897,0.261646,0.079493
4.04276,7.28255,10.3964,0.996321,1.52749,2.14391,0.632264,0.250919,0.116904
4.01995,7.34591,10.632,1.01617,1.64601,2.54893,0.635742,0.257431,0.106854
3.95723,7.13809,10.5913,1.03014,1.62975,2.50065,0.631804,0.257571,0.110731
4.1519,7.33549,10.9029,1.03373,1.43896,2.16943,0.658792,0.257245,0.083967
4.03098,7.24261,10.5567,0.967999,1.52421,2.08248,0.657592,0.237905,0.104591
4.07761,7.22451,11.0854,1.05314,1.61788,2.73332,0.649975,0.264154,0.0859993
4.02095,7.05681,10.721,1.03611,1.59474,2.64769,0.626469,0.274316,0.0992923
4.14626,7.77254,11.9698,1.12928,1.63946,2.40306,0.680056,0.253211,0.0667862
4.05375,7.32693,10.8833,0.998767,1.55656,2.55858,0.642368,0.269405,0.0882828
4.00866,7.07093,10.7055,0.98642,1.48937,2.54407,0.637433,0.277529,0.0850806
4.01775,7.58505,11.647,1.01137,1.36878,2.16445,0.667966,0.26906,0.0629925
3.97786,7.00008,10.5875,1.09587,1.84455,2.59212,0.613453,0.268195,0.118343
3.99803,7.12836,10.4528,1.01992,1.75253,2.69635,0.627889,0.265865,0.106332
3.96848,7.44326,11.3492,1.05903,1.60646,2.51349,0.658217,0.255946,0.0857851
3.94394,6.94529,11.0603,1.01482,1.72327,2.66298,0.608509,0.286685,0.104871
4.07966,7.42047,11.5991,1.08268,1.53659,2.36448,0.663731,0.263357,0.0729936
4.08822,7.60677,10.9667,1.0566,1.70707,2.49713,0.654865,0.241648,0.103548
4.02817,7.24534,10.7191,0.976201,1.51118,2.12183,0.646309,0.249015,0.104771
4.05246,7.54659,11.606,0.999676,1.40499,1.95385,0.665366,0.256151,0.0785207
3.99617,7.10942,11.1326,1.03153,1.73661,2.64456,0.641185,0.266935,0.0918387
3.88786,6.27643,10.0113,0.997222,1.72323,2.46542,0.536879,0.30985,0.153319
3.97399,6.91499,10.333,0.933901,1.51624,2.3728,0.632159,0.251533,0.116348
3.99622,7.25362,11.2743,0.972866,1.49091,2.19094,0.638176,0.279531,0.082354
3.90302,6.9416,9.85926,1.0026,1.60199,2.62355,0.617774,0.255124,0.127181
3.97747,7.15442,11.0151,1.04647,1.46837,1.97312,0.656304,0.255317,0.0884831
4.16255,7.64881,10.8214,1.0725,1.63745,2.8177,0.671869,0.248427,0.0797867
4.01964,7.36078,10.6687,1.03774,1.77372,2.89272,0.64111,0.253482,0.105479
3.93974,6.95778,11.4377,1.00426,1.67596,2.32654,0.62759,0.272246,0.100176
4.00255,7.29995,10.5731,0.979105,1.5398,2.63579,0.642642,0.26588,0.0915176
3.9992,7.33864,10.7925,1.02309,1.69959,2.87767,0.639023,0.279064,0.0819405
3.9947,7.53435,12.2129,1.07912,1.66045,2.55927,0.651978,0.2841,0.0639768
4.07141,7.35049,11.0942,1.05475,1.53316,2.46053,0.658217,0.245837,0.096028
4.03777,7.8813,11.1464,1.02124,1.3605,2.55304,0.681312,0.244185,0.0745479
4.09684,6.50838,10.5919,1.03557,1.82653,2.60552,0.602567,0.280525,0.116952
