mu1,mu2,sigma1,sigma2,w1,w2
4.21746,2.14282,1.16282,0.249989,0.72396,0.276033
4.13035,2.13653,1.14543,0.256284,0.728441,0.271493
4.15798,2.11764,1.14443,0.250537,0.72203,0.278082
4.20158,2.16852,1.11313,0.226756,0.733923,0.266183
1.44662,8.38191,0.346675,2.86061,0.735446,0.264641
1.4745,8.96149,0.355054,3.00764,0.764619,0.235467
1.48606,8.52028,0.310792,3.0013,0.769588,0.230515
1.44779,8.4582,0.330432,2.74067,0.736379,0.26365
1.46202,8.49234,0.322775,2.88318,0.752353,0.247639
4.16373,2.11645,1.0977,0.274972,0.735164,0.264958
1.45808,9.08381,0.364239,2.79063,0.765171,0.234868
4.12861,2.09525,1.11365,0.25598,0.71774,0.28232
4.15803,2.14158,1.18236,0.280153,0.745954,0.254053
1.45484,8.52227,0.320345,2.93282,0.734435,0.265629
1.44719,9.07169,0.315656,2.70494,0.748151,0.251868
4.22588,2.12506,1.15386,0.2535,0.739081,0.260911
4.05585,2.12516,1.05855,0.263397,0.721742,0.278311
1.45752,8.58513,0.303279,3.09737,0.750149,0.249835
4.17998,2.12785,1.08456,0.244,0.725244,0.274836
4.22771,2.13545,1.10496,0.241123,0.738339,0.26175
1.45632,8.79037,0.319659,3.00627,0.739461,0.260619
4.12568,2.12012,1.11394,0.245952,0.714623,0.285455
4.22546,2.15293,1.12528,0.207396,0.748019,0.252073
4.14473,2.15107,1.137,0.248444,0.738814,0.261177
4.19703,2.12918,1.12041,0.254138,0.739542,0.260466
4.16924,2.11348,1.16538,0.252529,0.726098,0.273958
4.14027,2.12741,1.05978,0.235412,0.700619,0.299416
1.44132,8.69655,0.326304,2.69347,0.737258,0.26281
4.09998,2.13517,1.1259,0.25152,0.727701,0.272274
4.2304,2.108,1.08873,0.246479,0.714064,0.286011
4.11171,2.12368,1.02168,0.24169,0.719054,0.28097
1.48205,8.56977,0.334716,3.19853,0.760516,0.23954
4.17039,2.11305,1.13665,0.261351,0.722676,0.277359
1.47382,8.81183,0.347487,3.13041,0.757252,0.24284
